Alloys,k,vm,tm,vac,delta,delta_chi,delta_s_mix,delta_h_mix,Class
Al1Cr1.5Cu1Fe1Ni1Ti1,140.46153846153848,8.037692307692307,1699.0638461538465,6.923076923076923,3.8525936997135157,0.14085537507099444,14.784225757784743,-26.05917159763314,0
Al0.5Co1Cr1Cu1Fe1Ni1Ti1.8,145.36986301369865,8.056164383561644,1754.7636986301372,7.219178082191782,2.938304183209291,0.1519893725729443,15.716915712267557,-27.63370238318634,0
Al1Cr1Fe1Mo0.98Ni1,162.5301204819277,8.060642570281123,1905.6560240963854,6.6024096385542155,4.947819097107818,0.1955252136983546,13.380592572698902,-25.864098966145708,0
Al1Cr1Fe1Mo0.995Ni1,162.73273273273276,8.064664664664663,1908.6274774774774,6.6006006006006,4.949922050181567,0.19605115065025483,13.380845170428229,-25.79797014231449,0
Al1Cr1Fe1Mo1Ni1,162.8,8.065999999999999,1909.614,6.6,4.9506058270987365,0.1962243613825766,13.380861848448422,-25.776,0
Al1Co1Cr1Cu0.8Ni1Ti1,140.51724137931035,8.070689655172414,1661.9458620689657,7.03448275862069,3.7670194645600557,0.15094234317493255,14.87071657101725,-35.59809750297265,0
Al3Cr1Cu1Fe1Ni2,131.875,8.078750000000001,1450.7224999999999,6.75,4.621678759968259,0.1354621718414406,12.422567144208957,-30.97500000000001,0
Al2.47Co1Cr1Fe1Ni1,135.19629057187015,8.088098918083462,1513.6431066460586,6.245749613601236,4.809047999279019,0.12723599085895723,12.653736751618043,-38.20988081957148,0
Al0.5Co1Cr1Cu1Fe1Ni1Si1.2,146.83582089552237,8.097014925373134,1692.0425373134326,7.507462686567164,8.09595593810933,0.10422250304201609,15.972686248928708,-27.185564713744704,0
Al3Co1Cr1Cu1Fe1Ni1,131.875,8.09125,1455.7224999999999,6.625,4.621678759968259,0.1314759959079983,13.863272567897479,-29.668750000000003,0
Al1Co1Cr1Cu0.65Ni1Ti1,140.53097345132744,8.096460176991151,1670.0213274336281,6.929203539823009,3.8166965920706994,0.15077215309517364,14.809012584459444,-37.60545070091627,0
Al2.5Co1Cr1Fe1Ni1,134.92307692307693,8.096923076923076,1510.9653846153847,6.230769230769231,4.815434123430774,0.12724667373385976,12.632142518307614,-38.29112426035503,0
Al1Cr1Fe1Mn1Ti0.25,129.47058823529412,8.08705882352941,1630.5194117647059,5.88235294117647,4.662350787237923,0.10516752166166486,12.707658957919202,-29.287197231833908,0
Al1Co0.5Cr1Fe1Mo0.5,152.375,8.095,1814.105,6.125,5.108040699844057,0.17535677916750184,12.966352777616104,-26.299999999999997,0
Co1Cr1Fe1Ge1Mn1Ni1,146.5,8.103333333333333,1703.025,9.0,3.9282970781796585,0.15563490039904995,14.896682280527974,-21.766666666666666,0
